pop_2024,city,state,pop_2020,change_24_20,pop_density_mile2,area_mile2
140700,Palm Bay,Florida,120163,20537,1623,86.68
140613,Jackson,Mississippi,152997,-12384,1259,111.69
140279,Victorville,California,134638,5641,1903,73.71
140232,Midland,Texas,132890,7342,1846,75.98
139920,Meridian,Idaho,119443,20477,3796,36.86
139586,Miramar,Florida,134516,5070,4838,28.85
138958,Metairie,Louisiana,138511,447,6000,23.16
137965,Orange,California,139451,-1486,5375,25.67
137911,Fullerton,California,143267,-5356,6151,22.42
137173,New Haven,Connecticut,129757,7416,7339,18.69
137037,Hampton,Virginia,137280,-243,2663,51.46
136818,Torrance,California,146442,-9624,6669,20.52
136480,Stamford,Connecticut,135462,1018,3627,37.63
135930,Lewisville,Texas,126422,9508,3343,40.66
135832,Warren,Michigan,139122,-3290,3951,34.38
135588,Fargo,North Dakota,125986,9602,2667,50.83
135546,Elizabeth,New Jersey,136677,-1131,11003,12.32
135358,Cedar Rapids,Iowa,137758,-2400,1825,74.16
135152,Coral Springs,Florida,134168,984,5911,22.86
134850,Dayton,Ohio,137496,-2646,2416,55.81
133691,Round Rock,Texas,120549,13142,3526,37.92
133055,Sterling Heights,Michigan,134059,-1004,3651,36.45
132706,Carrollton,Texas,133552,-846,3621,36.65
132635,West Valley City,Utah,139973,-7338,3702,35.83
132306,Kent,Washington,136592,-4286,3911,33.83
131926,Pasadena,California,138462,-6536,5746,22.96
131886,Santa Clara,California,128588,3298,7216,18.28
130674,Norman,Oklahoma,128161,2513,731,178.65
130337,Columbia,Missouri,126307,4030,1936,67.31
130251,Abilene,Texas,125417,4834,1221,106.67
129089,Athens-Clarke County (balance),Georgia,127245,1844,1109,116.44
128316,Pearland,Texas,125996,2320,2634,48.72
127511,Clovis,California,120770,6741,4932,25.85
126665,College Station,Texas,120771,5894,2476,51.16
126337,West Palm Beach,Florida,117507,8830,2345,53.87
125154,Topeka,Kansas,126437,-1283,2030,61.66
125056,Lakeland,Florida,113888,11168,1879,66.56
125007,Wilmington,North Carolina,115770,9237,2431,51.41
124703,Simi Valley,California,126343,-1640,3002,41.54
124597,Allentown,Pennsylvania,125727,-1130,7094,17.56
124357,Lehigh Acres,Florida,124523,-166,1342,92.69
123441,North Charleston,South Carolina,115551,7890,1590,77.63
122692,Rochester,Minnesota,121575,1117,2172,56.49
122342,Thousand Oaks,California,126824,-4482,2214,55.26
122272,The Woodlands,Texas,114532,7740,2826,43.27
122077,Billings,Montana,117224,4853,2679,45.57
121778,Vallejo,California,125894,-4116,4001,30.43
121471,Lafayette,Louisiana,121455,16,2169,56.02
121324,Concord,California,125286,-3962,3969,30.57
121079,Fairfield,California,119833,1246,2912,41.59
120949,Broken Arrow,Oklahoma,113928,7021,1921,62.96
120437,Arvada,Colorado,124343,-3906,3090,38.97
120263,Independence,Missouri,122899,-2636,1542,77.99
120022,Spring Hill,Florida,113742,6280,2003,59.92
119626,Hartford,Connecticut,119798,-172,6883,17.38
118587,Nampa,Idaho,101310,17277,3410,34.77
118212,Cambridge,Massachusetts,118218,-6,18479,6.4
117971,Ann Arbor,Michigan,123611,-5640,4164,28.33
117668,Antioch,California,115379,2289,4034,29.17
117619,High Point,North Carolina,114846,2773,2052,57.33
117396,New Braunfels,Texas,91643,25753,2607,45.03
117214,Berkeley,California,124205,-6991,11236,10.43
116874,League City,Texas,114657,2217,2275,51.36
116834,Menifee,California,103228,13606,2515,46.46
116813,Richardson,Texas,119299,-2486,4090,28.56
116689,Clearwater,Florida,117333,-644,4458,26.18
116460,Goodyear,Arizona,97838,18622,609,191.31
116015,Odessa,Texas,114926,1089,2236,51.89
115956,Las Cruces,New Mexico,111698,4258,1507,76.93
115462,Manchester,New Hampshire,115508,-46,3492,33.07
115360,Waterbury,Connecticut,113880,1480,4040,28.56
114651,Evansville,Indiana,117373,-2722,2421,47.35
114302,Westminster,Colorado,116594,-2292,3615,31.62
114200,West Jordan,Utah,117032,-2832,3505,32.59
114173,Pompano Beach,Florida,111957,2216,4744,24.07
114109,Brandon,Florida,115909,-1800,3444,33.13
113958,Buckeye,Arizona,93761,20197,289,394.83
113940,East Los Angeles,California,120504,-6564,15288,7.45
113912,Conroe,Texas,91255,22657,1503,75.8
113907,Lowell,Massachusetts,115462,-1555,8369,13.61
113721,Greeley,Colorado,109272,4449,2300,49.43
113711,Tuscaloosa,Alabama,104217,9494,1830,62.15
113644,Allen,Texas,105548,8096,4304,26.4
113409,Richmond,California,116196,-2787,3775,30.04
113018,Carlsbad,California,114924,-1906,2989,37.81
112874,Elgin,Illinois,114617,-1743,2959,38.14
112756,Provo,Utah,115103,-2347,2704,41.7
112735,Rio Rancho,New Mexico,104433,8302,1091,103.36
112122,Murrieta,California,111146,976,3343,33.54
111964,Lansing,Michigan,112566,-602,2857,39.19
111959,Springfield,Illinois,114298,-2339,1828,61.26
111863,Concord,North Carolina,104885,6978,1747,64.03
111823,South Fulton,Georgia,108211,3612,1203,92.95
111678,Tyler,Texas,106272,5406,1932,57.79
111305,Beaumont,Texas,114857,-3552,1355,82.14
111275,Everett,Washington,110893,382,3312,33.6
110878,Temecula,California,110094,784,2982,37.18
110803,Pueblo,Colorado,111899,-1096,1961,56.49
110801,Sparks,Nevada,108889,1912,3036,36.49
110463,Miami Gardens,Florida,111477,-1014,5979,18.48
110055,Santa Maria,California,109782,273,4825,22.81
